State,Murder,Assault,UrbanPop,Rape,Area,Longitude,Latitude,Division,Region,Population,Income,Illiteracy,Life Exp,Murder,HS Grad,Frost,Area,Cluster
Alabama,13.2,236,58,21.2,51609,-86.7509,32.5901,East South Central,South,3615,3624,2.1,69.05,15.1,41.3,20,50708,9
Alaska,10.0,263,48,44.5,589757,-127.25,49.25,Pacific,West,365,6315,1.5,69.31,11.3,66.7,152,566432,8
Arizona,8.1,294,80,31.0,113909,-111.625,34.2192,Mountain,West,2212,4530,1.8,70.55,7.8,58.1,15,113417,3
Arkansas,8.8,190,50,19.5,53104,-92.2992,34.7336,West South Central,South,2110,3378,1.9,70.66,10.1,39.9,65,51945,2
California,9.0,276,91,40.6,158693,-119.773,36.5341,Pacific,West,21198,5114,1.1,71.71,10.3,62.6,20,156361,8
Colorado,7.9,204,78,38.7,104247,-105.513,38.6777,Mountain,West,2541,4884,0.7,72.06,6.8,63.9,166,103766,3
Connecticut,3.3,110,77,11.1,5009,-72.3573,41.5928,New England,Northeast,3100,5348,1.1,72.48,3.1,56.0,139,4862,1
Delaware,5.9,238,72,15.8,2057,-74.9841,38.6777,South Atlantic,South,579,4809,0.9,70.06,6.2,54.6,103,1982,5
Florida,15.4,335,80,31.9,58560,-81.685,27.8744,South Atlantic,South,8277,4815,1.3,70.66,10.7,52.6,11,54090,5
Georgia,17.4,211,60,25.8,58876,-83.3736,32.3329,South Atlantic,South,4931,4091,2.0,68.54,13.9,40.6,60,58073,5
Hawaii,5.3,46,83,20.2,6450,-126.25,31.75,Pacific,West,868,4963,1.9,73.6,6.2,61.9,0,6425,8
Idaho,2.6,120,54,14.2,83557,-113.93,43.5648,Mountain,West,813,4119,0.6,71.87,5.3,59.5,126,82677,3
Illinois,10.4,249,83,24.0,56400,-89.3776,40.0495,East North Central,North Central,11197,5107,0.9,70.14,10.3,52.6,127,55748,4
Indiana,7.2,113,65,21.0,36291,-86.0808,40.0495,East North Central,North Central,5313,4458,0.7,70.88,7.1,52.9,122,36097,4
Iowa,2.2,56,57,11.3,56290,-93.3714,41.9358,West North Central,North Central,2861,4628,0.5,72.56,2.3,59.0,140,55941,7
Kansas,6.0,115,66,18.0,82264,-98.1156,38.4204,West North Central,North Central,2280,4669,0.6,72.58,4.5,59.9,114,81787,7
Kentucky,9.7,109,52,16.3,40395,-84.7674,37.3915,East South Central,South,3387,3712,1.6,70.1,10.6,38.5,95,39650,9
Louisiana,15.4,249,66,22.2,48523,-92.2724,30.6181,West South Central,South,3806,3545,2.8,68.76,13.2,42.2,12,44930,2
Maine,2.1,83,51,7.8,33215,-68.9801,45.6226,New England,Northeast,1058,3694,0.7,70.39,2.7,54.7,161,30920,1
Maryland,11.3,300,67,27.8,10577,-76.6459,39.2778,South Atlantic,South,4122,5299,0.9,70.22,8.5,52.3,101,9891,5
Massachusetts,4.4,149,85,16.3,8257,-71.58,42.3645,New England,Northeast,5814,4755,1.1,71.83,3.3,58.5,103,7826,1
Michigan,12.1,255,74,35.1,58216,-84.687,43.1361,East North Central,North Central,9111,4751,0.9,70.63,11.1,52.8,125,56817,4
Minnesota,2.7,72,66,14.9,84068,-94.6043,46.3943,West North Central,North Central,3921,4675,0.6,72.96,2.3,57.6,160,79289,7
Mississippi,16.1,259,44,17.1,47716,-89.8065,32.6758,East South Central,South,2341,3098,2.4,68.09,12.5,41.0,50,47296,9
Missouri,9.0,178,70,28.2,69686,-92.5137,38.3347,West North Central,North Central,4767,4254,0.8,70.69,9.3,48.8,108,68995,7
Montana,6.0,109,53,16.4,147138,-109.32,46.823,Mountain,West,746,4347,0.6,70.56,5.0,59.2,155,145587,3
Nebraska,4.3,102,62,16.5,77227,-99.5898,41.3356,West North Central,North Central,1544,4508,0.6,72.6,2.9,59.3,139,76483,7
Nevada,12.2,252,81,46.0,110540,-116.851,39.1063,Mountain,West,590,5149,0.5,69.03,11.5,65.2,188,109889,3
New Hampshire,2.1,57,56,9.5,9304,-71.3924,43.3934,New England,Northeast,812,4281,0.7,71.23,3.3,57.6,174,9027,1
New Jersey,7.4,159,89,18.8,7836,-74.2336,39.9637,Middle Atlantic,Northeast,7333,5237,1.1,70.93,5.2,52.5,115,7521,6
New Mexico,11.4,285,70,32.1,121666,-105.942,34.4764,Mountain,West,1144,3601,2.2,70.32,9.7,55.2,120,121412,3
New York,11.1,254,86,26.1,49576,-75.1449,43.1361,Middle Atlantic,Northeast,18076,4903,1.4,70.55,10.9,52.7,82,47831,6
North Carolina,13.0,337,45,16.1,52586,-78.4686,35.4195,South Atlantic,South,5441,3875,1.8,69.21,11.1,38.5,80,48798,5
North Dakota,0.8,45,44,7.3,70665,-100.099,47.2517,West North Central,North Central,637,5087,0.8,72.78,1.4,50.3,186,69273,7
Ohio,7.3,120,75,21.4,41222,-82.5963,40.221,East North Central,North Central,10735,4561,0.8,70.82,7.4,53.2,124,40975,4
Oklahoma,6.6,151,68,20.0,69919,-97.1239,35.5053,West South Central,South,2715,3983,1.1,71.42,6.4,51.6,82,68782,2
Oregon,4.9,159,67,29.3,96981,-120.068,43.9078,Pacific,West,2284,4660,0.6,72.13,4.2,60.0,44,96184,8
Pennsylvania,6.3,106,72,14.9,45333,-77.45,40.9069,Middle Atlantic,Northeast,11860,4449,1.0,70.43,6.1,50.2,126,44966,6
Rhode Island,3.4,174,87,8.3,1214,-71.1244,41.5928,New England,Northeast,931,4558,1.3,71.9,2.4,46.4,127,1049,1
South Carolina,14.4,279,48,22.5,31055,-80.5056,33.619,South Atlantic,South,2816,3635,2.3,67.96,11.6,37.8,65,30225,5
South Dakota,3.8,86,45,12.8,77047,-99.7238,44.3365,West North Central,North Central,681,4167,0.5,72.08,1.7,53.3,172,75955,7
Tennessee,13.2,188,59,26.9,42244,-86.456,35.6767,East South Central,South,4173,3821,1.7,70.11,11.0,41.8,70,41328,9
Texas,12.7,201,80,25.5,267339,-98.7857,31.3897,West South Central,South,12237,4188,2.2,70.9,12.2,47.4,35,262134,2
Utah,3.2,120,80,22.9,84916,-111.33,39.1063,Mountain,West,1203,4022,0.6,72.9,4.5,67.3,137,82096,3
Vermont,2.2,48,32,11.2,9609,-72.545,44.2508,New England,Northeast,472,3907,0.6,71.64,5.5,57.1,168,9267,1
Virginia,8.5,156,63,20.7,40815,-78.2005,37.563,South Atlantic,South,4981,4701,1.4,70.08,9.5,47.8,85,39780,5
Washington,4.0,145,73,26.2,68192,-119.746,47.4231,Pacific,West,3559,4864,0.6,71.72,4.3,63.5,32,66570,8
West Virginia,5.7,81,39,9.3,24181,-80.6665,38.4204,South Atlantic,South,1799,3617,1.4,69.48,6.7,41.6,100,24070,5
Wisconsin,2.6,53,66,10.8,56154,-89.9941,44.5937,East North Central,North Central,4589,4468,0.7,72.48,3.0,54.5,149,54464,4
Wyoming,6.8,161,60,15.6,97914,-107.256,43.0504,Mountain,West,376,4566,0.6,70.29,6.9,62.9,173,97203,3
